final_call_type,CARE,SPD,SPD/CARE Co-Response
ABANDONED VEHICLE,0.0,100.0,0.0
ABDUCTION - NO KNOWN KIDNAPPING,0.0,100.0,0.0
"ALARM - ATM MACHINE, FREE STANDING",0.0,100.0,0.0
ALARM - AUDIBLE AUTOMOBILE (UNOCC/ANTI-THEFT),0.0,100.0,0.0
ALARM - BANK (HOLD-UP),0.0,100.0,0.0
"ALARM - COMM, HOLD-UP/PANIC (EXCEPT BANKS)",0.0,100.0,0.0
"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",0.0,100.0,0.0
"ALARM - DURESS/PANIC,TAXI/CAR/PRSN - NOT DV",0.0,100.0,0.0
ALARM - DV - DURESS/PANIC,0.0,100.0,0.0
ALARM - POLICE FACILITY,0.0,100.0,0.0
"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",0.0,100.0,0.0
ALARM - RESIDENTIAL - SILENT/AUD PANIC/DURESS,0.0,100.0,0.0
"ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",0.0,100.0,0.0
"ALARM-COMM ROBB (BANK, PANIC, DURESS)",0.0,100.0,0.0
"ALARM-OTHER (VARDA,PDT,FIRE,LOCAL,METRO,ETC))",0.0,100.0,0.0
ALARM-RESIDENTIAL BURG,0.0,100.0,0.0
ALARM-RESIDENTIAL PANIC OR DURESS,0.0,100.0,0.0
ALARM-VEHICLE ALARMS,0.0,100.0,0.0
ANIMAL - DANGEROUS,0.0,100.0,0.0
"ANIMAL - INJURED, DEAD HAZARD, OTHER",4.3478260869565215,95.65217391304348,0.0
ANIMAL BITE,0.0,100.0,0.0
"ANIMAL COMPLAINT - INJURED,DEAD,DANGEROUS",0.0,100.0,0.0
"ANIMAL COMPLAINT - NOISE,STRAY,BITE",0.0,99.71988795518207,0.2801120448179272
ARSON - REPORT,0.0,100.0,0.0
"ARSON, BOMBS, EXPLO - ARSON",0.0,100.0,0.0
"ARSON, BOMBS, EXPLO - RECKLESS BURNING",0.0,99.69604863221885,0.303951367781155
"ARSON,BOMBS,EXPLO - BOMBS, EXPLO,LARGE FIREWORKS",0.0,100.0,0.0
ASLT - CRITICAL (NO SHOOTINGS),0.0,100.0,0.0
ASLT - DV,0.0,96.15384615384616,3.8461538461538463
ASLT - DV CRITICAL,0.0,100.0,0.0
"ASLT - MOLESTED ADULT (GROPED, FONDLED, ETC.)",0.0,100.0,0.0
ASLT - PERSON SHOT OR SHOT AT,0.0,100.0,0.0
ASLT - REPORT FOR PERSON SHOT OR SHOT AT,0.0,100.0,0.0
ASLT - WITH OR W/O WPNS (NO SHOOTINGS),0.0,99.11504424778761,0.8849557522123894
ASSAULTS - FIREARM INVOLVED,0.0,99.46091644204851,0.5390835579514826
ASSAULTS - GANG RELATED,0.0,100.0,0.0
"ASSAULTS - HARASSMENT, THREATS",0.029958058717795086,99.64050329538647,0.329538645895746
"ASSAULTS - TELEPHONE, WRITING",0.0,100.0,0.0
"ASSAULTS, OTHER",0.0,99.55845990815966,0.44154009184033916
ASSIGNED DUTY - CENTURYLINK STADIUM,0.0,100.0,0.0
"ASSIGNED DUTY - COMMUNITY,SCHOOL,SPECIAL EVENT",0.3861003861003861,99.61389961389962,0.0
ASSIGNED DUTY - COURT,0.0,100.0,0.0
ASSIGNED DUTY - DETAIL BY SUPERVISOR,0.14184397163120568,99.8581560283688,0.0
ASSIGNED DUTY - FOOT BEAT (FROM ASSIGNED CAR),0.0,100.0,0.0
ASSIGNED DUTY - HOSPITAL GUARD,0.0,96.29629629629629,3.7037037037037033
ASSIGNED DUTY - IN-SERVICE TRAINING,0.0,100.0,0.0
ASSIGNED DUTY - MEET W/ SUPERVISOR (OUT OF SVC),2.272727272727273,97.72727272727273,0.0
ASSIGNED DUTY - OTHER ESCORT,11.11111111111111,88.88888888888889,0.0
ASSIGNED DUTY - REPORTS,0.0,100.0,0.0
ASSIGNED DUTY - SEATTLE CENTER EVENT,0.0,100.0,0.0
ASSIGNED DUTY - STAKEOUT,0.0,100.0,0.0
"ASSIGNED DUTY - STATION DUTY (CLERK,MAIL,ETC)",0.0,100.0,0.0
"ASSIGNED DUTY - TRANSPORT EVIDENCE,EQUIPMENT",0.0,100.0,0.0
ASSIST OTHER AGENCY - CITY AGENCY,0.02933124755572937,98.93429800547516,1.0363707469691044
ASSIST OTHER AGENCY - COUNTY AGENCY,0.0,99.13867355727821,0.8613264427217916
ASSIST OTHER AGENCY - EMERGENCY SERVICE,0.0,100.0,0.0
ASSIST OTHER AGENCY - FEDERAL AGENCY,0.0,100.0,0.0
ASSIST OTHER AGENCY - ROUTINE SERVICE,1.4128728414442702,98.58712715855573,0.0
ASSIST OTHER AGENCY - STATE AGENCY,0.0,99.14821124361158,0.8517887563884157
"ASSIST PUBLIC - 911 HANG UP, OPEN LINE",0.0,99.24642049736248,0.7535795026375283
ASSIST PUBLIC - NO WELFARE CHK OR DV ORDER SERVICE,40.0,47.38461538461539,12.615384615384615
ASSIST PUBLIC - OTHER (NON-SPECIFIED),0.2030800473853444,95.16838720595702,4.628532746657641
ASSIST SPD,0.0,100.0,0.0
AUTO - THEFT/LOSS OF PLATES,0.0,100.0,0.0
AUTO RECOVERY,0.0,100.0,0.0
AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY,0.0,100.0,0.0
AUTOMOBILES - ABANDONED CAR,0.0,100.0,0.0
AUTOMOBILES - AUTO THEFT,0.0,99.9475982532751,0.05240174672489083
AUTOMOBILES - AUTO THEFT & RECOVERY,0.0,99.90167158308752,0.09832841691248771
AUTOMOBILES - LICENSE PLATE(S) THEFT OR LOSS,0.0,100.0,0.0
AUTOMOBILES - RECOVERY (THEFT),0.0,99.90972013241047,0.09027986758952752
AWOL - ADULT OR JUVENILE,0.0,100.0,0.0
BIAS,0.0,100.0,0.0
BOMB - THREATS,0.0,100.0,0.0
BROADCAST AND CLEAR BY RADIO,0.1669449081803005,99.8330550918197,0.0
BURG - COMM BURGLARY,0.0,100.0,0.0
BURG - OCCUPIED RESD,0.0,100.0,0.0
BURG - RESD (INCL UNOCC STRUCTURES ON PROP),0.0,100.0,0.0
BURGLARY - NON RESIDENTIAL/COMMERCIAL,0.0,99.90407673860912,0.09592326139088729
BURGLARY - RESIDENTIAL OCCUPIED,0.0,99.8812351543943,0.11876484560570072
"BURGLARY - RESIDENTIAL, UNOCCUPIED",0.0,99.89495798319328,0.10504201680672269
BURGLARY - UNOCC STRUC ON RESN PROP,0.0,100.0,0.0
BURN - RECKLESS BURNING,0.0,100.0,0.0
CARJACKING - ROBBERY,0.0,100.0,0.0
CASUALTY NON-TRAF NON-CRIM - DRUG RELATED (OD),0.0,98.23399558498896,1.7660044150110374
"CASUALTY,NON-TRAF,NON-CRIM - NON-DRUG RELATED",0.0,98.03719008264463,1.962809917355372
CCR ONLY - ASSIST THE PUBLIC,80.14329580348004,0.8188331627430911,19.037871033776867
CCR ONLY - CARE CRISIS RESPONSE,37.03703703703704,1.2345679012345678,61.72839506172839
CCR ONLY - COMMUNITY PRESENCE,99.62121212121212,0.0946969696969697,0.2840909090909091
CCR ONLY - NON-OD SUD CALL,50.0,5.555555555555555,44.44444444444444
CCR ONLY - OVERDOSE,23.076923076923077,69.23076923076923,7.6923076923076925
CCR ONLY - SUICIDAL PERSON,9.090909090909092,40.909090909090914,50.0
"CCR ONLY - WELFARE CHK, DOWN PERSON, EXCL OD",37.94642857142857,20.982142857142858,41.07142857142857
CHILD -  LURING,0.0,100.0,0.0
"CHILD - ABAND, ABUSE, MOLEST, NEGLECT",0.0,100.0,0.0
"CHILD - ABANDONED, ABUSED AND NEGLECTED",0.0,97.31543624161074,2.684563758389262
CHILD - CHILD ENDANGERMENT,0.0,96.55172413793103,3.4482758620689653
"CHILD - CRITICAL ABAND, ABUSE, MOLEST, NEGLECT",0.0,100.0,0.0
COMMERCIAL SEXUAL EXPLOITATION OF MINORS (CSEC),0.0,100.0,0.0
CRISIS COMPLAINT - GENERAL,0.007781495603454983,97.47101392887713,2.521204575519415
CRISIS COMPLAINT - PICK-UP OR TRANSPORT,0.0,92.80000000000001,7.199999999999999
CROWD MGMNT (STAND BY ONLY),0.0,100.0,0.0
CUSTODIAL INTERFERENCE - DV,0.0,100.0,0.0
DEMO MGMNT (CONTROL TACTICS USED),0.0,100.0,0.0
DEMONSTRATIONS,0.0,100.0,0.0
DETOX - REQUEST FOR,0.0,100.0,0.0
DIRECTED PATROL ACTIVITY,0.6937709809772473,99.20925027974636,0.0969787392763894
DISTURBANCE,0.0,99.32203389830508,0.6779661016949152
DISTURBANCE - DV - NO ASLT,0.0,100.0,0.0
DISTURBANCE - DV CRITICAL,0.0,100.0,0.0
DISTURBANCE - FIGHT,0.0,99.37578027465668,0.6242197253433208
DISTURBANCE - GANG RELATED,0.0,100.0,0.0
DISTURBANCE - JUVENILE,0.0,98.4126984126984,1.5873015873015872
DISTURBANCE - NOISE,0.0,99.98029944838456,0.019700551615445233
DISTURBANCE - NOISE RESIDENTIAL,0.0,99.86919555264879,0.13080444735120994
DISTURBANCE - OTHER,0.003426300280956623,99.60254916740902,0.3940245323100116
"DOA - CASUALTY, DEAD BODY",0.0,98.80952380952381,1.1904761904761905
DOMESTIC SEX TRAFFICKING,0.0,100.0,0.0
DOWN - CHECK FOR DOWN PERSON,0.0,73.42657342657343,26.573426573426573
DOWN TIME - OUT OF SERVICE,0.0,100.0,0.0
DRIVE BY SHOOTING - NO INJURIES,0.0,99.67948717948718,0.3205128205128205
DUI - DRIVING UNDER INFLUENCE,0.0,100.0,0.0
"DV - ARGUMENTS, DISTURBANCE (NO ARREST)",0.0,98.25742574257426,1.7425742574257428
DV - ASSIST VICTIM BY COURT ORDER,0.0,100.0,0.0
DV - DOMESTIC THREATS BY PHONE OR WRITING,0.0,99.56896551724138,0.43103448275862066
DV - DOMESTIC VIOL/ASLT (ARREST MANDATORY),0.0,98.85807504078304,1.1419249592169658
DV - DOMESTIC VIOLENCE (ARREST DISCRETIONARY),0.0,99.1891891891892,0.8108108108108109
DV - ENFORCE COURT ORDER (ARREST MANDATED),0.0,99.2831541218638,0.7168458781362007
DV - SERVICE OF COURT ORDER,0.0,99.91039426523297,0.08960573476702509
DV - STANDBY TO ASSURE PEACE,0.0,100.0,0.0
"DV -VULNERABLE ADULT, FINANCIAL EXPLOITATION",0.0,100.0,0.0
